"stimListID","stimNeu","stimPrimacy","stimRecency","stimNeg","stimTest1","stimTest2","stimFoil","stimFamil","stimTraining","trainResponseArray","trainRtArray","responseArray1","rtArray1",
1,"Images/ImageList1/Neu/2190.jpg","Images/ImageList1/Neu/2190.jpg","Images/ImageList1/Neu/7014.jpg","Images/ImageList1/Neg/3053.jpg","Images/ImageList1/Neu/2271.jpg","Images/ImageList1/Neu/7234.jpg","Images/ImageList1/Neg/9340.jpg","Images/ImageList1/Neg/3053.jpg","Images/ImageList1/Neu/2190.jpg","NR",0.5,"1",11.9587,
,"Images/ImageList1/Neu/7017.jpg","Images/ImageList1/Neu/7017.jpg","Images/ImageList1/Neu/8118.jpg","Images/ImageList1/Neg/6300.jpg","Images/ImageList1/Neu/2309.jpg","Images/ImageList1/Neg/7078.jpg","Images/ImageList1/Neg/6314.jpg","Images/ImageList1/Neg/6300.jpg","Images/ImageList1/Neu/7017.jpg","NR",0.5,"2",2.1075,
,"Images/ImageList1/Neu/6150.jpg","Images/ImageList1/Neu/6150.jpg","Images/ImageList1/Neu/4090.jpg","Images/ImageList1/Neg/9185.jpg","Images/ImageList1/Neg/3068.jpg","Images/ImageList1/Neg/3350.jpg","Images/ImageList1/Neg/3068.jpg","Images/ImageList1/Neg/9185.jpg","Images/ImageList1/Neu/6150.jpg","NR",0.5,"1",1.0725,
,"Images/ImageList1/Neu/2595.jpg","Images/ImageList1/Neu/2595.jpg","Images/ImageList1/Neu/2026.jpg","Images/ImageList1/Neg/2206.jpg","Images/ImageList1/Neg/9190.jpg","Images/ImageList1/Neg/7136.jpg","Images/ImageList1/Neg/9163.jpg","Images/ImageList1/Neg/2206.jpg","Images/ImageList1/Neu/2595.jpg","NR",0.5,"3",1.0273,
,"Images/ImageList1/Neu/7014.jpg",,,"Images/ImageList1/Neg/9373.jpg","Images/ImageList1/Neg/6300.jpg","Images/ImageList1/Neu/4500.jpg","Images/ImageList1/Neg/6021.jpg","Images/ImageList1/Neg/9373.jpg","Images/ImageList1/Neu/7012.jpg","NR",0.5,"1",1.0604,
,"Images/ImageList1/Neu/8118.jpg",,,"Images/ImageList1/Neg/9432.jpg","Images/ImageList1/Neu/2597.jpg","Images/ImageList1/Neg/7079.jpg","Images/ImageList1/Neg/6020.jpg","Images/ImageList1/Neg/9432.jpg","Images/ImageList1/Neg/7360.jpg","NR",0.5,"1",1.0358,
,"Images/ImageList1/Neu/4090.jpg",,,"Images/ImageList1/Neg/1110.jpg","Images/ImageList1/Neg/3102.jpg","Images/ImageList1/Neu/7030.jpg","Images/ImageList1/Neg/9622.jpg","Images/ImageList1/Neg/1110.jpg","Images/ImageList1/Neu/9210.jpg","NR",0.5,"1",1.0342,
,"Images/ImageList1/Neu/2026.jpg",,,"Images/ImageList1/Neg/9110.jpg","Images/ImageList1/Neu/5950.jpg","Images/ImageList1/Neg/3216.jpg","Images/ImageList1/Neg/1101.jpg","Images/ImageList1/Neg/9110.jpg","Images/ImageList1/Neg/3350.jpg","NR",0.5,"1",1.033,
,"Images/ImageList1/Neu/4573.jpg",,,"Images/ImageList1/Neg/9590.jpg","Images/ImageList1/Neu/4573.jpg","Images/ImageList1/Neu/7242.jpg","Images/ImageList1/Neg/3102.jpg","Images/ImageList1/Neg/9590.jpg","Images/ImageList1/Neu/9635.2.jpg","NR",0.5,"1",1.0489,
,"Images/ImageList1/Neu/7192.jpg",,,"Images/ImageList1/Neg/9190.jpg","Images/ImageList1/Neg/9590.jpg","Images/ImageList1/Neu/2600.jpg","Images/ImageList1/Neg/3051.jpg","Images/ImageList1/Neg/9190.jpg","Images/ImageList1/Neu/7025.jpg","NR",0.5,"2",1.0146,
