"stimTest1","responseArray1","rtArray1","valenceNeg1","valenceNeu1","hits1","misses1","falseAlarms1","correctRejection1","dPrime1",
"Images/ImageList1/Neu/2271.jpg","1",11.9587,0,1,0,0,1,0,0,
"Images/ImageList1/Neu/2309.jpg","2",2.1075,0,1,1,0,0,0,,
"Images/ImageList1/Neg/3068.jpg","1",1.0725,1,0,0,0,1,0,,
"Images/ImageList1/Neg/9190.jpg","3",1.0273,1,0,1,0,0,0,,
"Images/ImageList1/Neg/6300.jpg","1",1.0604,1,0,1,0,0,0,,
"Images/ImageList1/Neu/2597.jpg","1",1.0358,0,1,0,0,1,0,,
"Images/ImageList1/Neg/3102.jpg","1",1.0342,1,0,0,0,1,0,,
"Images/ImageList1/Neu/5950.jpg","1",1.033,0,1,0,0,1,0,,
"Images/ImageList1/Neu/4573.jpg","1",1.0489,0,1,1,0,0,0,,
"Images/ImageList1/Neg/9590.jpg","2",1.0146,1,0,1,0,0,0,,
"Images/ImageList1/Neg/1101.jpg","1",1.0112,1,0,0,0,1,0,,
"Images/ImageList1/Neg/9373.jpg","3",1.0136,1,0,1,0,0,0,,
"Images/ImageList1/Neu/5532.jpg","1",1.0249,0,1,1,0,0,0,,
"Images/ImageList1/Neg/9163.jpg","1",1.0218,1,0,0,0,1,0,,
"Images/ImageList1/Neg/2206.jpg","2",1.0234,1,0,1,0,0,0,,
"Images/ImageList1/Neg/6314.jpg","2",1.0183,1,0,0,0,1,0,,
"Images/ImageList1/Neg/6021.jpg","3",1.0289,1,0,0,0,1,0,,
"Images/ImageList1/Neu/2383.jpg","1",1.023,0,1,0,0,1,0,,
"Images/ImageList1/Neu/2220.jpg","3",1.018,0,1,1,0,0,0,,
"Images/ImageList1/Neg/6020.jpg","1",1.0146,1,0,0,0,1,0,,
"Images/ImageList1/Neu/7130.jpg","3",1.0326,0,1,0,0,1,0,,
"Images/ImageList1/Neg/9185.jpg","3",1.0241,1,0,1,0,0,0,,
"Images/ImageList1/Neu/4274.jpg","1",1.0195,0,1,0,0,1,0,,
"Images/ImageList1/Neu/9422.jpg","1",1.042,0,1,0,0,1,0,,
"Images/ImageList1/Neu/7487.jpg","1",1.0465,0,1,1,0,0,0,,
"Images/ImageList1/Neu/5395.jpg","3",1.0312,0,1,0,0,1,0,,
"Images/ImageList1/Neg/3053.jpg","1",1.028,1,0,1,0,0,0,,
"Images/ImageList1/Neg/9622.jpg","3",1.0237,1,0,0,0,1,0,,
"Images/ImageList1/Neg/9340.jpg","1",1.0159,1,0,0,0,1,0,,
"Images/ImageList1/Neu/7025.jpg","1",1.0126,0,1,1,0,0,0,,
"Images/ImageList1/Neg/9110.jpg","1",1.0267,1,0,1,0,0,0,,
"Images/ImageList1/Neu/2570.jpg","1",1.0167,0,1,1,0,0,0,,
"Images/ImageList1/Neu/1230.jpg","1",1.0175,0,1,1,0,0,0,,
"Images/ImageList1/Neu/5250.jpg","1",1.0279,0,1,0,0,1,0,,
"Images/ImageList1/Neu/5731.jpg","2",1.0151,0,1,1,0,0,0,,
"Images/ImageList1/Neg/1110.jpg","1",1.0303,1,0,1,0,0,0,,
"Images/ImageList1/Neg/9432.jpg","2",1.0249,1,0,1,0,0,0,,
"Images/ImageList1/Neu/1313.jpg","2",1.0177,0,1,0,0,1,0,,
"Images/ImageList1/Neg/3051.jpg","1",18.2867,1,0,0,0,1,0,,
"Images/ImageList1/Neu/7192.jpg","2",1.0434,0,1,1,0,0,0,,

