"stimEncoding",,"stimTest1",,,"stimTest2",,,"stimTraining",,"responseArray1","rtArray1","responseTimeArray1",
"freezer","peek","rake","tuna","Rearr","steak","weight","Intact","stellar","magnet","0",0.050005,0.3364,
"vegetable","appear","naive","press","Rearr","profound","climb","Rearr","cat","ahoy","0",0.050003,0.68625,
"repeat","stain","cherry","robe","Intact","mile","agreement","Rearr","france","newton","0",0.050035,1.0201,
"thunder","jabber","minimum","guess","Intact","return","late","Rearr","spanish","tax","0",0.050045,1.3706,
"fighter","spring","bomb","mouse","Rearr","hamster","unfair","Novel","comb","flakes","0",0.050031,1.7205,
"rental","subway","goal","stair","Rearr","quart","annoy","Intact","browse","morning","0",0.050032,2.0703,
"bookcase","coat","snore","dustpan","Novel","shame","country","Rearr","soprano","human","1",0.0040595,2.3755,
"jacket","crooked","change","creep","Intact","perfume","monotone","Intact","thunder","jabber","1",0.041075,2.7456,
"clatter","cake","jungle","delicate","Intact","squint","team","Intact","study","climb","1",0.0020816,3.0392,
"minnow","blend","enough","vine","Novel","finish","shell","Intact","marriage","check","1",0.048398,3.3862,
"wheat","caper","female","suggest","Intact","tantrum","head","Novel","less","together","0",0.050117,3.7375,
"mile","fury","fighter","whole","Rearr","less","together","Intact","exhale","mirror","3",0.0040271,4.0413,
"obstacle","purpose","surprise","noodles","Novel","doll","priest","Novel","choice","bouquet","0",0.050867,4.4052,
"truth","mold","bicycle","flop","Rearr","exact","clothes","Novel","hurt","cans","1",0.042306,4.7467,
"charm","society","straight","blend","Rearr","blanket","loser","Novel","exercise","agreement","0",0.0512,5.0889,
"bomb","barn","cowboy","advice","Rearr","vein","spit","Intact","profound","fish","0",0.050807,5.4389,
"bend","bashful","large","acoustic","Novel","lend","turn","Intact","joke","rays","4",0.040792,5.7787,
"moose","loud","joyous","headache","Rearr","clatter","bouquet","Rearr","artichoke","mouse","1",0.0019692,6.0732,
"olympics","financial","mind","mouth","Intact","wide","washer","Intact","part","fungus","0",0.051099,6.4231,
"peace","calculate","oyster","create","Novel","easy","learn","Intact","orange","summary","0",0.050924,6.7725,
"profound","fish","pride","projector","Intact","worn","cans","Rearr","parent","sock","4",0.033941,7.1055,
"dream","helmet","olympics","divide","Rearr","enemy","congress","Novel","shop","sing","5",0.0025487,7.4078,
"major","demand","shed","pistol","Intact","bravery","dive","Novel","lady","found","0",0.050614,7.7566,
"clear","brother","cylinder","purse","Novel","choice","bleach","Rearr","lake","beard","0",0.051234,8.1068,
"ball","nature","verb","closet","Intact","teeth","cute","Novel","castle","reliable","1",0.0051109,8.4104,
"energy","headache","yawn","contacts","Novel","success","barley","Novel","groceries","accept","1",0.024398,8.7298,
"surreal","superior","rare","telephone","Intact","swear","virtue","Intact","clear","brother","1",0.001458,9.0234,
"exhale","mirror","magazine","rifle","Intact","code","unclear","Novel","verb","closet","1",0.0014153,9.3236,
"skirt","scratch","rope","rivalry","Novel","wasp","drapes","Novel","repeat","stain","1",0.011583,9.6339,
"shrimp","shade","wheat","sock","Rearr","awful","trout","Intact","daring","stripe","0",0.050687,9.9735,
"jungle","delicate","boil","homework","Intact","lady","film","Rearr","value","stupid","0",0.050065,10.3224,
"browse","morning","hunter","crow","Novel","magic","mushroom","Novel","bicycle","stove","1",0.0030439,10.6092,
"greet","stamp","excited","disappear","Novel","chromium","buffalo","Novel","camel","terrible","0",0.050961,10.9563,
"lend","turn","kiss","shut","Rearr","pheasant","florida","Intact","easy","learn","0",0.050845,11.2902,
"marriage","check","able","proof","Intact","ball","news","Rearr","mustache","whole","0",0.050048,11.6392,
"chocolate","bump","stay","turkey","Rearr","egypt","square","Rearr","chapel","tweezers","7",0.030506,11.9531,
"field","offense","glow","plan","Novel","rental","subway","Intact","greet","stamp","0",0.051299,12.3076,
"cushion","crocodile","diamond","rogue","Novel","halloween","foot","Novel","lift","avocado","0",0.05004,12.6565,
"banjo","fruit","taste","superior","Rearr","study","mall","Rearr","narrow","story","0",0.05028,13.0069,
"breakfast","dime","discreet","ocean","Intact","spasm","raven","Novel","goal","dessert","6",0.01427,13.3212,
"folder","award","artichoke","pencil","Rearr","active","beak","Novel","jungle","delicate","0",0.050038,13.6736,
"sigh","wrath","wake","funny","Novel","needle","crazy","Intact","surreal","superior","0",0.050017,14.0069,
"canary","pony","smash","novel","Novel","shield","alike","Novel","dream","helmet","5",0.0021443,14.3096,
"italian","cents","duty","spring","Rearr","chapel","cake","Rearr","kiss","bell","5",0.0014835,14.6082,
"gross","necklace","bookcase","coat","Intact","soprano","cereal","Rearr","tight","winter","2",0.0020724,14.909,
"pheasant","florida","oriole","drum","Novel","canary","pony","Intact","shed","pistol","0",0.050038,15.2575,
"jump","satin","football","calm","Intact","princess","tuba","Novel","defense","tabloids","0",0.050005,15.5905,
"shock","crowbar","pour","pants","Intact","employer","cotton","Novel","cloak","flamingo","0",0.050042,15.9402,
"shop","sing","bush","candy","Novel","simple","bizarre","Novel","phantom","stone","0",0.050047,16.2905,
"egypt","dependent","surreal","nail","Rearr","birch","sale","Rearr","backward","unknown","0",0.05003,16.6406,
"tail","weird","clearance","kettle","Novel","leopard","hurry","Novel","python","movement","0",0.050046,16.9742,
"rich","mandarin","painting","peek","Rearr","penny","lobster","Intact","toad","smart","0",0.050015,17.3241,
"straight","divide","machine","flasher","Rearr","fortune","tripod","Intact","rare","telephone","0",0.050022,17.6575,
"phantom","stone","pillow","ending","Novel","negative","rise","Novel","shampoo","skillet","0",0.050053,18.0081,
"castle","reliable","bench","cleaner","Intact","mother","dependent","Rearr","moose","loud","0",0.050072,18.3582,
"quart","annoy","plant","weird","Rearr","tint","legs","Intact","needle","crazy","0",0.050012,18.6913,
"backward","unknown","snow","office","Novel","dream","shallow","Rearr","rich","mandarin","0",0.050036,19.0412,
"able","proof","middle","live","Intact","moose","loud","Intact","painting","advice","0",0.050044,19.3745,
"iguana","dolphin","dagger","beard","Rearr","peacock","chevron","Intact","crunchy","obey","0",0.050014,19.7246,
"study","climb","scotch","demand","Rearr","meeting","doorknob","Intact","fortune","tripod","0",0.050024,20.0753,
"duty","later","plea","brigade","Rearr","furnish","lapse","Intact","hamburger","minute","0",0.050036,20.4245,
"discreet","ocean","sound","drug","Novel","shrimp","shade","Intact","faint","wire","0",0.050023,20.7749,
"town","empty","major","allow","Rearr","grave","storm","Intact","fighter","spring","0",0.050039,21.1254,
"shoelace","sale","level","buoy","Novel","vegetable","rays","Rearr","present","mall","0",0.050006,21.4588,
"wide","washer","brick","save","Rearr","brain","found","Rearr","line","turkey","0",0.050047,21.8084,
