"stimTest1",,"responseArray1","responseTimeArray1","rtArray1","ansIntact1","ansRearr1","ansNovel1","wasIntact1","wasRearr1","wasNovel1","hitsIntact1","missesIntact1","falseAlarmsIntact1","corRejIntact1","dPrimeIntact1","hitsRearr1","missesRearr1","falseAlarmsRearr1","corRejRearr1","dPrimeRearr1","hitsNovel1","missesNovel1","falseAlarmsNovel1","corRejNovel1","dPrimeNovel1","overallCorrect1","accuracy1",
"rake","tuna","0",0.3364,0.050005,0,0,0,0,1,0,0,0,0,1,-0.13733,0,1,0,0,Inf,0,0,0,1,-0.28415,0,0.06,
"naive","press","0",0.68625,0.050003,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"cherry","robe","0",1.0201,0.050035,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"minimum","guess","0",1.3706,0.050045,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"bomb","mouse","0",1.7205,0.050031,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"goal","stair","0",2.0703,0.050032,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"snore","dustpan","1",2.3755,0.0040595,1,0,0,0,0,1,0,0,1,0,,0,0,0,1,,0,1,0,0,,0,,
"change","creep","1",2.7456,0.041075,1,0,0,1,0,0,1,0,0,0,,0,0,0,1,,0,0,0,1,,1,,
"jungle","delicate","1",3.0392,0.0020816,1,0,0,1,0,0,1,0,0,0,,0,0,0,1,,0,0,0,1,,1,,
"enough","vine","1",3.3862,0.048398,1,0,0,0,0,1,0,0,1,0,,0,0,0,1,,0,1,0,0,,0,,
"female","suggest","0",3.7375,0.050117,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"fighter","whole","3",4.0413,0.0040271,1,0,0,0,1,0,0,0,1,0,,0,1,0,0,,0,0,0,1,,0,,
"surprise","noodles","0",4.4052,0.050867,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"bicycle","flop","1",4.7467,0.042306,1,0,0,0,1,0,0,0,1,0,,0,1,0,0,,0,0,0,1,,0,,
"straight","blend","0",5.0889,0.0512,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"cowboy","advice","0",5.4389,0.050807,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"large","acoustic","4",5.7787,0.040792,0,0,1,0,0,1,0,0,0,1,,0,0,0,1,,1,0,0,0,,1,,
"joyous","headache","1",6.0732,0.0019692,1,0,0,0,1,0,0,0,1,0,,0,1,0,0,,0,0,0,1,,0,,
"mind","mouth","0",6.4231,0.051099,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"oyster","create","0",6.7725,0.050924,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"pride","projector","4",7.1055,0.033941,0,0,1,1,0,0,0,1,0,0,,0,0,0,1,,0,0,1,0,,0,,
"olympics","divide","5",7.4078,0.0025487,0,0,1,0,1,0,0,0,0,1,,0,1,0,0,,0,0,1,0,,0,,
"shed","pistol","0",7.7566,0.050614,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"cylinder","purse","0",8.1068,0.051234,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"verb","closet","1",8.4104,0.0051109,1,0,0,1,0,0,1,0,0,0,,0,0,0,1,,0,0,0,1,,1,,
"yawn","contacts","1",8.7298,0.024398,1,0,0,0,0,1,0,0,1,0,,0,0,0,1,,0,1,0,0,,0,,
"rare","telephone","1",9.0234,0.001458,1,0,0,1,0,0,1,0,0,0,,0,0,0,1,,0,0,0,1,,1,,
"magazine","rifle","1",9.3236,0.0014153,1,0,0,1,0,0,1,0,0,0,,0,0,0,1,,0,0,0,1,,1,,
"rope","rivalry","1",9.6339,0.011583,1,0,0,0,0,1,0,0,1,0,,0,0,0,1,,0,1,0,0,,0,,
"wheat","sock","0",9.9735,0.050687,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"boil","homework","0",10.3224,0.050065,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"hunter","crow","1",10.6092,0.0030439,1,0,0,0,0,1,0,0,1,0,,0,0,0,1,,0,1,0,0,,0,,
"excited","disappear","0",10.9563,0.050961,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"kiss","shut","0",11.2902,0.050845,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"able","proof","0",11.6392,0.050048,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"stay","turkey","7",11.9531,0.030506,0,1,0,0,1,0,0,0,0,1,,1,0,0,0,,0,0,0,1,,1,,
