1.1,1.1,1.2,1.2,2.1,2.1,2.2,2.2,3.1,3.1,3.2,3.2,4.1,4.1,4.2,4.2,5.1,5.1,5.2,5.2,6.1,6.1,6.2,6.2,7.1,7.1,7.2,7.2,8.1,8.1,8.2,8.2,9.1,9.1,9.2,9.2,10.1,10.1,10.2,10.2,11.1,11.1,11.2,11.2,12.1,12.1,12.2,12.2,13.1,13.1,13.2,13.2,14.1,14.1,14.2,14.2,15.1,15.1,15.2,15.2,16.1,16.1,16.2,16.2,17.1,17.1,17.2,17.2,18.1,18.1,18.2,18.2,0.1,0.1,0.2,0.2,0.3,0.3,END
argument,weekend,argument,shower,able,robe,able,proof,ancient,cereal,ancient,smart,april,entry,april,moth,banana,chin,banana,confess,africa,start,africa,held,acquire,notice,acquire,excuse,anger,award,anger,construct,angel,actress,angel,penguin,australia,skid,australia,rhyme,adjective,guard,adjective,remember,abandon,student,abandon,thin,abnormal,oats,abnormal,cheese,active,beak,active,clothes,ascent,stick,ascent,squeak,anxiety,tangerine,anxiety,thirst,bride,contacts,bride,hiccup,artist,worst,artist,empty,minus,nerd,escalator,sorority,logarithm,situation,END
armor,goldfish,armor,walnut,banjo,wrath,banjo,fruit,apple,snob,apple,millionth,army,pedal,army,speech,baseball,zucchini,baseball,person,alert,cabbage,alert,thread,action,turtle,action,teacher,artichoke,pencil,artichoke,mouse,argue,gander,argue,tack,boxer,goblet,boxer,freeway,admit,sample,admit,concrete,anchor,airplane,anchor,minor,attic,cider,attic,bracelet,affirm,whistle,affirm,prom,athletic,tile,athletic,ambulance,base,gone,base,ahead,bush,hiccup,bush,candy,awful,trout,awful,team,platypus,nectarine,cat,ahoy,security,cortical,END
bargain,same,bargain,police,bench,tricycle,bench,cleaner,ball,nature,ball,news,backpack,hours,backpack,vision,beast,biscuit,beast,queen,area,awake,area,ceiling,arrow,hoop,arrow,face,bicycle,flop,bicycle,stove,ashamed,class,ashamed,gander,cabin,brown,cabin,nightgown,bleed,print,bleed,pedigree,assume,auto,assume,airplane,aunt,tennis,aunt,pilot,blanket,loser,blanket,rise,balloon,early,balloon,dollar,basket,whip,basket,spider,cheerful,dustpan,cheerful,shave,backward,unknown,backward,wire,camisole,extrovert,honeydew,machete,cow,hug,END
beer,view,beer,polite,boil,stupid,boil,homework,birch,pizza,birch,sale,bath,fair,bath,sheep,belief,apron,belief,chin,bean,held,bean,circus,basement,skin,basement,item,bison,dessert,bison,allow,band,toes,band,pigeon,camp,freeway,camp,pull,blue,span,blue,similar,attack,polish,attack,spoiled,amble,business,amble,tennis,bravery,dive,bravery,buffalo,bathroom,vault,bathroom,trade,blink,ache,blink,earring,china,drum,china,lonely,bend,bashful,bend,chevron,ant,bus,france,newton,beautiful,owl,END
blood,scent,blood,goldfish,bookcase,tongs,bookcase,coat,brain,journey,brain,found,bird,center,bird,sofa,black,achieve,black,bridge,butterfly,gamble,butterfly,rocks,begin,promise,begin,secure,bomb,mouse,bomb,barn,battalion,gather,battalion,spatula,clay,valuable,clay,constant,broccoli,newspaper,broccoli,attach,bake,jewel,bake,screws,buckle,lamp,buckle,arrival,bread,court,bread,raven,blush,nephew,blush,monthly,borrow,furniture,borrow,ribs,clearance,crow,clearance,kettle,canary,pony,canary,unknown,medieval,alligator,sassafras,rug,maybe,emote,END
book,president,book,beat,breakfast,thimble,breakfast,dime,care,smoke,care,cello,builder,ordeal,builder,hours,bowl,stand,bowl,fright,chip,coffee,chip,conceited,belt,party,belt,notice,brick,save,brick,flop,beehive,foresight,beehive,umbrella,clipper,retain,clipper,arms,broom,ketchup,broom,cloth,beaver,hitchhike,beaver,prince,bullet,writer,bullet,giraffe,bungalow,sunday,bungalow,heat,body,skunk,body,raspberry,bother,blender,bother,steel,clown,limousine,clown,bright,canoe,elephant,canoe,spit,cigar,deodorant,spanish,tax,recliner,seatbelt,END
boss,willow,boss,juvenile,browse,ocean,browse,morning,cars,square,cars,fish,cactus,tired,cactus,monster,bronco,cabinet,bronco,stand,corn,ceiling,corn,start,casual,bark,casual,creative,broken,mitten,broken,second,bolts,question,bolts,trolley,concern,pull,concern,lace,bureau,flag,bureau,catfish,being,minor,being,full,buzzard,crossbow,buzzard,surfboard,chromium,buffalo,chromium,insurance,bounce,slip,bounce,tongue,boys,yard,boys,layer,cook,average,cook,kidnap,child,tart,child,shell,geometry,harmonica,stellar,magnet,thing,airshaft,END
busy,movie,busy,knock,camel,maze,camel,terrible,castle,reliable,castle,saucer,carry,drip,carry,color,calf,attain,calf,achieve,dinosaur,conceited,dinosaur,door,cheat,shake,cheat,watch,burp,barn,burp,pencil,boyfriend,tray,boyfriend,eagle,crafts,twist,crafts,garden,butter,attempt,butter,home,blonde,ledge,blonde,expensive,cage,blueberry,cage,year,circle,chirp,circle,ride,brilliant,slap,brilliant,family,britain,spider,britain,amount,creator,dirt,creator,collect,chocolate,bump,chocolate,storm,emergency,graduation,tooth,garland,special,printer,END
cancel,punch,cancel,bumps,change,unlock,change,creep,chapel,tweezers,chapel,cake,chipmunk,cold,chipmunk,sneeze,challenge,tissue,challenge,daily,disease,coral,disease,noise,criminal,luck,criminal,novice,chemistry,shape,chemistry,save,branch,hula,branch,cloudy,crash,amuse,crash,spread,cannon,lawn,cannon,guard,brush,drag,brush,sack,choose,hunger,choose,critical,city,insurance,city,foot,bumpy,smile,bumpy,fist,carrot,scare,carrot,itch,crime,buoy,crime,tractor,comb,flakes,comb,mandarin,,,,,,,END
candle,break,candle,theory,charm,proof,charm,society,chat,catapult,chat,smoke,church,hand,church,clamp,chance,cuddle,chance,weather,drain,rocks,drain,cabbage,cucumber,novice,cucumber,gift,clear,wine,clear,brother,bubble,snake,bubble,danger,different,bluejay,different,coke,celery,plane,celery,flag,cathedral,accuse,cathedral,hitchhike,coconut,lunch,coconut,finch,code,unclear,code,bizarre,cottage,test,cottage,milk,cash,accurate,cash,buggy,cylinder,plan,cylinder,purse,cushion,crocodile,cushion,weight,,,,,,,END
cell,hospital,cell,president,cheetah,wood,cheetah,tricycle,choice,bouquet,choice,bleach,club,number,club,genuine,chew,skinny,chew,animal,goat,important,goat,poem,curtain,direction,curtain,robbery,cloak,crooked,cloak,flamingo,build,scream,build,fries,dust,spoon,dust,compact,claims,sailboat,claims,span,chair,thin,chair,bayonet,continent,critical,continent,eggs,control,trouble,control,cute,couch,trade,couch,inhale,cautious,enter,cautious,fantasy,diamond,vine,diamond,rogue,easy,learn,easy,dealer,,,,,,,END
coin,hostess,coin,drill,cherry,pavement,cherry,robe,clarinet,legend,clarinet,goose,coyote,cutthroat,coyote,desk,cough,bull,cough,harp,ground,poem,ground,walrus,dish,trip,dish,bone,computer,land,computer,soup,carpet,penguin,carpet,tray,earmuffs,lemon,earmuffs,valuable,cure,bore,cure,flower,company,expensive,company,drag,cork,destroy,cork,warn,cruel,prom,cruel,sleep,crackle,inhale,crackle,leaf,cave,crayon,cave,marble,enough,tractor,enough,vine,elect,difficult,elect,sing,,,,,,,END
confusion,menu,confusion,scent,closing,coat,closing,wind,clatter,cake,clatter,bouquet,dense,hole,dense,hand,crops,once,crops,dangerous,guilt,strange,guilt,clam,east,ladder,east,health,cowboy,advice,cowboy,stair,chief,umbrella,chief,actress,evidence,nightgown,evidence,many,descent,dinner,descent,object,cool,bass,cool,desert,cups,cheese,cups,destroy,doll,priest,doll,plain,deep,monthly,deep,nephew,college,tent,college,crayon,excited,bright,excited,disappear,faint,wire,faint,cents,,,,,,,END
consume,polite,consume,basic,comment,closet,comment,wood,dandelion,clang,dandelion,catapult,eject,fashion,eject,ordeal,deaf,wing,deaf,cuddle,hallway,grandma,hallway,concert,empire,dishonest,empire,investor,dagger,beard,dagger,tuna,evil,grand,evil,race,extinct,many,extinct,building,doughnut,puff,doughnut,attempt,copy,temple,copy,earth,daytime,follow,daytime,sleigh,dress,heave,dress,chirp,embarrass,acute,embarrass,yell,conscious,wrist,conscious,float,explode,kettle,explode,kids,finish,shell,finish,virtue,,,,,,,END
course,leather,course,punch,crunchy,skillet,crunchy,obey,defeat,shallow,defeat,tweezers,failure,envelope,failure,lettuce,detail,prejudice,detail,jeans,harpoon,knight,harpoon,piped,exit,domain,exit,decay,defense,flamingo,defense,tabloids,facet,eagle,facet,scream,eyes,phone,eyes,alone,dusk,remember,dusk,bore,dots,ruler,dots,senator,decision,cracker,decision,bucket,employer,cotton,employer,Sunday,eyebrows,feeling,eyebrows,fiction,cover,bedroom,cover,caribou,friend,tire,friend,clockwise,fortune,tripod,fortune,movement,,,,,,,END
cultural,shower,cultural,hostess,daring,cleaner,daring,stripe,dream,helmet,dream,shallow,grab,bazooka,grab,ageless,donation,starling,donation,garage,hatchet,west,hatchet,seek,feet,priceless,feet,shine,duty,spring,duty,later,turnip,saxophone,turnip,grand,father,wrench,father,duck,elbow,zebra,elbow,sailboat,electric,screws,electric,arrogant,dill,sweater,dill,worry,enemy,congress,enemy,reef,formal,play,formal,parakeet,data,state,data,bottle,future,candy,future,average,furnish,lapse,furnish,purpose,,,,,,,END
fence,police,fence,fallacy,discreet,telephone,discreet,ocean,egypt,dependent,egypt,square,halt,cliff,halt,tired,done,sugar,done,camera,hate,trombone,hate,illegal,finger,blouse,finger,bark,energy,later,energy,headache,flash,cloudy,flash,increase,faucet,chop,faucet,amuse,emerald,chime,emerald,meaning,fiance,full,fiance,plastic,drool,pilot,drool,follow,exact,clothes,exact,period,general,parakeet,general,straw,dictate,fitting,dictate,tangerine,glow,sympathy,glow,plan,grave,storm,grave,tart,,,,,,,END
